18:00:43.579101 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 289600:292496, ack 1, win 58, options [nop,nop,TS val 28020906 ecr 28020905], length 2896
18:00:43.581793 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 292496:295392, ack 1, win 58, options [nop,nop,TS val 28020907 ecr 28020906], length 2896
18:00:43.584484 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 295392:298288, ack 1, win 58, options [nop,nop,TS val 28020907 ecr 28020907], length 2896
18:00:43.587176 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 298288:301184, ack 1, win 58, options [nop,nop,TS val 28020908 ecr 28020907], length 2896
18:00:43.589867 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 301184:304080, ack 1, win 58, options [nop,nop,TS val 28020909 ecr 28020908], length 2896
18:00:43.592559 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 304080:306976, ack 1, win 58, options [nop,nop,TS val 28020909 ecr 28020909], length 2896
18:00:43.595250 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 306976:309872, ack 1, win 58, options [nop,nop,TS val 28020910 ecr 28020909], length 2896
18:00:43.597942 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 309872:312768, ack 1, win 58, options [nop,nop,TS val 28020911 ecr 28020910], length 2896
18:00:43.600633 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 312768:315664, ack 1, win 58, options [nop,nop,TS val 28020911 ecr 28020911], length 2896
18:00:43.603326 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [P.], seq 315664:318560, ack 1, win 58, options [nop,nop,TS val 28020912 ecr 28020911], length 2896
18:00:43.606017 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 318560:321456, ack 1, win 58, options [nop,nop,TS val 28020913 ecr 28020912], length 2896
18:00:43.608708 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 321456:324352, ack 1, win 58, options [nop,nop,TS val 28020913 ecr 28020913], length 2896
18:00:43.611404 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 324352:327248, ack 1, win 58, options [nop,nop,TS val 28020914 ecr 28020913], length 2896
18:00:43.614095 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 327248:330144, ack 1, win 58, options [nop,nop,TS val 28020915 ecr 28020914], length 2896
18:00:43.616786 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 330144:333040, ack 1, win 58, options [nop,nop,TS val 28020915 ecr 28020915], length 2896
18:00:43.619811 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 333040:335936, ack 1, win 58, options [nop,nop,TS val 28020916 ecr 28020915], length 2896
18:00:43.622839 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 335936:338832, ack 1, win 58, options [nop,nop,TS val 28020917 ecr 28020916], length 2896
18:00:43.625867 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 338832:341728, ack 1, win 58, options [nop,nop,TS val 28020917 ecr 28020917], length 2896
18:00:43.628895 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 341728:344624, ack 1, win 58, options [nop,nop,TS val 28020918 ecr 28020918], length 2896
18:00:43.631923 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 344624:347520, ack 1, win 58, options [nop,nop,TS val 28020919 ecr 28020918], length 2896
18:00:43.634951 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 347520:350416, ack 1, win 58, options [nop,nop,TS val 28020920 ecr 28020919], length 2896
18:00:43.637979 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 350416:353312, ack 1, win 58, options [nop,nop,TS val 28020920 ecr 28020920], length 2896
18:00:43.641007 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 353312:356208, ack 1, win 58, options [nop,nop,TS val 28020921 ecr 28020920], length 2896
18:00:43.644035 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 356208:359104, ack 1, win 58, options [nop,nop,TS val 28020922 ecr 28020921], length 2896
18:00:43.647062 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 359104:362000, ack 1, win 58, options [nop,nop,TS val 28020922 ecr 28020922], length 2896
