0.00 1 0.0  0 0
62.40 1 155.0  10064190 0.0
62.50 1 155.0  10064190 0.0
62.60 1 155.0  10064190 0.0
62.70 1 155.0  10064190 0.0
62.80 1 155.0  10064190 0.0
62.90 1 155.0  10064190 0.0
63.00 1 155.0  10064190 0.0
63.10 1 155.0  10064190 0.0
63.20 1 155.0  10064190 0.0
63.30 1 155.0  10064190 0.0
63.40 1 155.0  10064190 0.0
63.50 1 155.0  10064190 0.0
63.60 1 155.0  10064190 0.0
63.70 1 155.0  10064190 0.0
63.80 1 155.0  10064190 0.0
63.90 1 155.0  10064190 0.0
64.00 1 155.0  10064190 0.0
64.10 1 155.0  10064190 0.0
64.20 1 155.0  10064190 0.0
64.30 1 155.0  10064190 0.0
64.40 1 155.0  10064190 0.0
64.50 1 155.0  10064190 0.0
64.60 1 155.0  10064190 0.0
64.70 1 155.0  10064190 0.0
64.80 1 155.0  10064190 0.0
64.90 1 155.0  10064190 0.0
65.00 1 155.0  10064190 0.0
65.10 1 155.0  10064190 0.0
65.20 1 155.0  10064190 0.0
65.30 1 155.0  10064190 0.0
65.40 1 155.0  10064190 0.0
65.50 1 155.0  10064190 0.0
65.60 1 155.0  10064190 0.0
65.70 1 155.0  10064190 0.0
65.80 1 155.0  10064190 0.0
65.90 1 155.0  10064190 0.0
66.00 1 155.0  10064190 0.0
66.10 1 155.0  10064190 0.0
66.20 1 155.0  10064190 0.0
66.30 1 155.0  10064190 0.0
66.40 1 155.0  10064190 0.0
66.50 1 155.0  10064190 0.0
66.60 1 155.0  10064190 0.0
66.70 1 155.0  10064190 0.0
66.80 1 155.0  10064190 0.0
66.90 1 155.0  10064190 0.0
67.00 1 155.0  10064190 0.0
67.10 1 155.0  10064190 0.0
67.20 1 155.0  10064190 0.0
67.30 1 155.0  10064190 0.0
67.40 1 155.0  10064190 0.0
67.50 1 155.0  10064190 0.0
67.60 1 155.0  10064190 0.0
67.70 1 155.0  10064190 0.0
67.80 1 155.0  10064190 0.0
67.90 1 155.0  10064190 0.0
68.00 1 155.0  10064190 0.0
68.10 1 155.0  10064190 0.0
68.20 1 155.0  10064190 0.0
68.30 1 155.0  10064190 0.0
68.40 1 155.0  10064190 0.0
68.50 1 155.0  10064190 0.0
68.60 1 155.0  10064190 0.0
68.70 1 155.0  10064190 0.0
68.80 1 155.0  10064190 0.0
68.90 1 155.0  10064190 0.0
69.00 1 155.0  10064190 0.0
69.10 1 155.0  10064190 0.0
69.20 1 155.0  10064190 0.0
69.30 1 155.0  10064190 0.0
69.40 1 155.0  10064190 0.0
69.50 1 155.0  10064190 0.0
69.60 1 155.0  10064190 0.0
69.70 1 155.0  10064190 0.0
69.80 1 155.0  10064190 0.0
69.90 1 155.0  10064190 0.0
70.00 1 155.0  10064190 0.0
